Mã số thuế SOE1,Mã số thuế SOE2,Doanh thu,Ngành nghề kinh doanh chính,Địa chỉ,Thành Phố,Tên SOE2,Tên SOE1
0100113303,0300443073,14343873034,Vận tải ven biển và viễn dương,15/48A Đoàn Như Hải - phường 12 - Quận 4 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Một Thành Viên Đóng Tàu 76,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0301811523,,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0304522600,0,Đóng tàu và cấu kiện nổi,15/48A Đoàn Như Hài - phường 12 - Quận 4 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Một Thành Viên Đầu Tư Phát Triển Công Nghiệp Tàu Thủy Phía Nam,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0400100577,,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0400567001,,Sản xuất khác chưa được phân vào đâu,"Đường số 7, Khu công nghiệp Hoà Khánh - Phường Hoà Khánh Bắc - Quận Liên Chiểu - Đà Nẵng",Đà Nẵng,Công Ty TNHH Một Thành Viên Tôn Liên Chiểu,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0400571350,,Gia công cơ khí; xử lý và tráng phủ kim loại,"Đường số 06, KCN Liên Chiểu - Phường Hoà Hiệp Bắc - Quận Liên Chiểu - Đà Nẵng",Đà Nẵng,Công Ty TNHH Một Thành Viên Cơ Điện Và Xây Lắp Công Nghiệp Tàu Thủy,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,2800228046,28360382595,Sản xuất máy chuyên dụng khác,"Số nhà 359, đường Bà Triệu - Phường Đông Thọ - Thành phố Thanh Hoá - Thanh Hoá",Thanh Hoá,Công Ty TNHH Một Thành Viên Công Nghiệp Tàu Thủy Thanh Hóa,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,3000105505,10143249813,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,3100135408,,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,3100289158,529090900,Đóng tàu và cấu kiện nổi,TK 5 - Thị trấn Quán Hàu - Huyện Quảng Ninh - Quảng Bình,Quảng Bình,Công Ty TNHH Một Thành Viên Công Nghiệp Tàu Thuỷ Quảng Bình,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,3500794839,0,Đóng tàu và cấu kiện nổi,Số 132/26 Nguyễn Tri Phương - Phường 7 - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu,Vũng Tàu,Công Ty TNHH Một Thành Viên Tư Vấn - Thiết Kế - Công Nghệ Tàu Thủy Và Dịch Vụ Hàng Hải,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,4200240278,0,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,4200702733,24267157350,Đóng tàu và cấu kiện nổi,01 Tân Lộc - Bình Tân - Phường Vĩnh Trường - Thành phố Nha Trang - Khánh Hòa,Khánh Hòa,Công Ty TNHH Một Thành Viên Đóng Tàu Nha Trang,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,6300037516,,Đóng tàu và thuyền,xã Đông Phú - Huyện Châu Thành - Hậu Giang,Hậu Giang,Công ty Trách nhiệm Hữu hạn Một Thành Viên Đầu Tư Phát Triển Công Nghiệp Tàu Thủy Hậu Giang,Tổng Công ty Công Nghiệp Tàu Thủy 
0104918404,0106827752,475710836444,"Trồng rau, đậu các loại và trồng hoa, cây cảnh","Khu Nông nghiệp ứng dụng công nghệ cao, Xã Hồng Thái Tây, Thị xã Đông Triều, Tỉnh Quảng Ninh",Quảng Ninh,Chi Nhánh Công Ty TNHH Đầu Tư Sản Xuất Phát Triển Nông Nghiệp Vineco Tại Tỉnh Quảng Ninh,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce
0101824243,0101824243-001,,"NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN","Lô J1/2 khu công nghiệp Thăng Long, xã Võng La - Huyện Đông Anh - Hà Nội",Hà Nội,Công ty TNHH PANASONIC SYSTEM NETWORKS Việt Nam,CÔNG TY TNHH PANASONIC VIỆT NAM 
0101824243,0101824243-002,,Sản xuất khác chưa được phân vào đâu,Lô J1- J2Khu công nghiệp Thăng Long - Huyện Đông Anh - Hà Nội,Hà Nội,Công ty TNHH Panasonic Industrial Devices Việt Nam,CÔNG TY TNHH PANASONIC VIỆT NAM 
1100176136,0310661835,,,,,,Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam
1100176136,1101340156,6436054519,Hoạt động trung gian tiền tệ khác,145 Hùng Vương - Thành phố Tân An - Long An,Long An,Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Quản Lý Nợ Và Khai Thác Tài Sản Ngân Hàng Xây Dựng Việt N,Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam
0300588569,0316724859,7703145746,"Sản xuất đồ uống không cồn, nước khoáng","Số 10, Đường Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh",TP Hồ Chí Minh,Công Ty Trách Nhiệm Hữu Hạn Liên Doanh Thực Phẩm Và Đồ Uống Vibev,CÔNG TY CP SỮA VIỆT NAM
3700381324,3502313442,,,"Đường số 1B, khu công nghiệp Phú Mỹ I - Thị trấn Phú Mỹ - Huyện Tân Thành - Bà Rịa - Vũng Tàu",Vũng Tàu,CôNG TY TNHH MộT THàNH VIêN HOA SEN PHú Mỹ,CÔNG TY CP TẬP ĐOÀN HOA SEN
3700381324,3700763651,,,,,,CÔNG TY CP TẬP ĐOÀN HOA SEN
3700381324,4101425750,,"Sản xuất sắt, thép, gang",Lô A1.1 và TT 6.2&7 Khu Công nghiệp Nhơn Hòa - Phường Nhơn Hòa - Thị Xã An Nhơn - Bình Định,Bình Định,Công Ty TNHH Một Thành Viên Hoa Sen Bình Định,CÔNG TY CP TẬP ĐOÀN HOA SEN
3700381324,4101453370,,"Sản xuất sắt, thép, gang",Thôn Hội Sơn - Xã Nhơn Hội - Thành phố Quy Nhơn - Bình Định,Bình Định,Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Hoa Sen Nhơn Hội - Bình Định,CÔNG TY CP TẬP ĐOÀN HOA SEN
0301452948,0104315477,,,,,,Ngân hàng TMCP á châu
0301452948,0300568442,6256824827,,,,,Ngân hàng TMCP á châu
0301103908,5800396328,60965212994,Dịch vụ lưu trú ngắn ngày,Tỉnh Lâm Đồng,Chưa rõ,Biệt Thự Ngọc My,Ngân hàng TMCP Sài Gòn Thương Tín
0303490096,0105976790,1842699201,Hoạt động vui chơi giải trí khác chưa được phân vào đâu,"Tầng 3, số 76 Trần Đại Nghĩa - Phường Đồng Tâm - Quận Hai Bà Trưng - Hà Nội",Hà Nội,Công Ty TNHH Giải Trí Long Đỉnh,Công ty Cổ phần VNG
0303490096,0106180708,123764111073,Cổng thông tin,"Tầng 3, Tòa nhà Trung Yên 1, Khu đô thị Trung Yên - Phường Trung Hoà - Quận Cầu Giấy - Hà Nội",Hà Nội,Công Ty TNHH Vng Online,Công ty Cổ phần VNG
0303490096,0310964981,409723605574,Lập trình máy vi tính,182 Lê Đại Hành - Phường 15 - Quận 11 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Phát Triển Phần Mềm Vng,Công ty Cổ phần VNG
0303490096,0317231038,,Chi tiết: Sản xuất phần mềm,Z06 Đường số 13  Phường Tân Thuận Đông,Thành phố Hồ Chí Minh,CÔNG TY CỔ PHẦN VERICHAINS,Công ty Cổ phần VNG
0303490096,0401510382,204900050701,Hoạt động vui chơi giải trí khác chưa được phân vào đâu,73/17 Trần Khánh Dư - Phường Mỹ An - Quận Ngũ Hành Sơn - Đà Nẵng,Đà Nẵng,Công Ty TNHH Nội Dung Số Nguyên Bảo,Công ty Cổ phần VNG
0300583659,0300635106,,,,,,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0300692986,0,Sản xuất thuỷ tinh và sản phẩm từ thuỷ tinh,"Phòng 11.1, Tầng 11, Tòa nhà REE, số 9, đường Đoàn Văn Bơ - phường 12 - Quận 4 - TP Hồ Chí Minh",TP Hồ Chí Minh,Công Ty TNHH Thủy Tinh Malaya � Việt Nam,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0300715827,191063322870,,,,,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0300829768,,"Chưng, tinh cất và pha chế các loại rượu mạnh",621 Phạm Văn Chí - Phường 07 - Quận 6 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Sản Xuất Rượu Và Cồn Việt Nam,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0301238969,3374755419094,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,Xa Lộ Hà Nội - Phường Hiệp Phú - Quận 9 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty Liên Doanh TNHH Crown Sài Gòn,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0305204336,1727272729,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",66 Tân Thành - Phường 12 - Quận 5 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Đầu Tư Thương Mại Tân Thành,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0313649265,0,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",76 Đường Tôn Thất Thuyết - Phường 16 - Quận 4 - TP Hồ Chí Minh,TP Hồ Chí Minh,Công Ty TNHH Đầu Tư Sabeco Hp,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0315165573,0,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng","187 Nguyễn Chí Thanh, Phường 12, Quận 5, Thành phố Hồ Chí Minh",TP Hồ Chí Minh,Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Bia Sài Gòn,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300583659,0700249225,575926448641,Sản xuất bia và mạch nha ủ men bia,104-106 đường Trần Phú - Phường Quang Trung - Thành phố Phủ Lý - Hà Nam,Hà Nam,Công ty CP bia Sài Gòn - Phủ Lý,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN
0300465937,0316039109,0,,,,,CÔNG TY CP DU LỊCH VÀ TIẾP THỊ GIAO THÔNG VẬN TẢI VIỆT NAM - VIETRAVEL
0300465937,3301712013,, 48.  Điêu hành tua du lịch Chi tiêt: Kinh doanh lữ hành nội địa và quốc tê 7912(Chính),"03 Hùng Vương, Phường Phú Hội, Thành phô Huê, Tỉnh Thừa Thiên Huê, Việt Nam (84.2343) 831 431",Tỉnh Thừa Thiên Huê,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THANH VIÊN DU LỊCH VIETRAVEL HUẾ,CÔNG TY CP DU LỊCH VÀ TIẾP THỊ GIAO THÔNG VẬN TẢI VIỆT NAM - VIETRAVEL
0305097236,0316158113,1786744159466,,,,,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM
0305097236,6000647581,,,,,,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM
0302615063,0402079923,0,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê","61A Nguyễn Văn Cừ, Phường Hoà Hiệp Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng",Đà Nẵng,Công Ty TNHH Đầu Tư Và Phát Triển Công Nghệ Cao Saigontel,Công ty Cổ phần Công Nghệ - Viễn Thông Sài Gòn
